"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.478498835E2,6.501129637E1,2.547189249E1,1.853727898E1,1.220000029E0,1.216999969E2,3.790092468E0,2.912425756E0
1.488490324E2,6.501129123E1,2.547192005E1,1.924638928E1,1.200000048E0,1.220000000E2,3.790092468E0,2.914518118E0
1.498489487E2,6.501128664E1,2.547194447E1,1.939751577E1,1.120000005E0,1.239000015E2,3.790092468E0,2.896064997E0
1.508498196E2,6.501128145E1,2.547196590E1,1.920739471E1,1.159999967E0,1.271999969E2,3.790092468E0,2.907489777E0
1.518493366E2,6.501127434E1,2.547198811E1,1.961828761E1,1.190000057E0,1.338000031E2,3.790092468E0,2.728718042E0
1.528495719E2,6.501126522E1,2.547200287E1,1.993488144E1,1.029999971E0,1.516000061E2,3.790092468E0,2.760646820E0
1.538495902E2,6.501125105E1,2.547200110E1,1.998401997E1,1.450000048E0,1.826999969E2,3.790092468E0,2.921296597E0
1.548497265E2,6.501123498E1,2.547199214E1,2.013734573E1,1.450000048E0,1.938999939E2,3.790092468E0,3.006182194E0
1.558494399E2,6.501121897E1,2.547198309E1,2.043733895E1,1.610000014E0,1.948999939E2,3.790092468E0,3.308197498E0
1.568495749E2,6.501120205E1,2.547197592E1,2.086910754E1,1.720000029E0,1.921999969E2,3.790092468E0,3.373182535E0
1.578496338E2,6.501118580E1,2.547196694E1,2.107919606E1,1.759999990E0,1.930000000E2,3.790092468E0,3.165355444E0
1.588497675E2,6.501117352E1,2.547195514E1,2.007492742E1,1.580000043E0,1.976000061E2,3.790092468E0,2.881612062E0
1.598496187E2,6.501116334E1,2.547194306E1,1.974393677E1,1.539999962E0,2.001999969E2,3.790092468E0,2.737403870E0
1.608493664E2,6.501115414E1,2.547193183E1,1.928880031E1,1.539999962E0,2.026999969E2,3.790092468E0,2.563312769E0
1.618490819E2,6.501114456E1,2.547191942E1,1.876286313E1,1.529999971E0,2.053999939E2,3.790092468E0,2.500000000E0
1.628497063E2,6.501113451E1,2.547190564E1,1.895134253E1,1.549999952E0,2.071000061E2,3.790092468E0,2.500000000E0
1.638496361E2,6.501112457E1,2.547189271E1,1.887859148E1,1.519999981E0,2.068000031E2,3.790092468E0,2.500000000E0
1.648494789E2,6.501111528E1,2.547187935E1,1.888146272E1,1.509999990E0,2.078999939E2,3.790092468E0,2.500000000E0
1.658493128E2,6.501110553E1,2.547186330E1,1.896190962E1,1.519999981E0,2.101999969E2,3.790092468E0,2.500000000E0
1.668490346E2,6.501109449E1,2.547184665E1,1.838116313E1,1.529999971E0,2.103999939E2,3.790092468E0,2.500000000E0
1.678490255E2,6.501108271E1,2.547183072E1,1.837713815E1,1.539999962E0,2.093000031E2,3.790092468E0,2.500000000E0
1.688490513E2,6.501107202E1,2.547181544E1,1.827478518E1,1.480000019E0,2.076000061E2,3.790092468E0,2.500000000E0
1.698490433E2,6.501106287E1,2.547179998E1,1.787018551E1,1.480000019E0,2.090000000E2,3.790092468E0,2.500000000E0
1.708489120E2,6.501105356E1,2.547178262E1,1.759009749E1,1.480000019E0,2.100000000E2,3.790092468E0,2.500000000E0
1.718498471E2,6.501104372E1,2.547176318E1,1.732600074E1,1.490000010E0,2.126999969E2,3.790092468E0,2.500000000E0
1.728497431E2,6.501103613E1,2.547174330E1,1.696406376E1,1.460000038E0,2.131999969E2,3.790092468E0,2.500000000E0
1.738496037E2,6.501102697E1,2.547172382E1,1.698811372E1,1.470000029E0,2.128999939E2,3.790092468E0,2.500000000E0
1.748496138E2,6.501101882E1,2.547170509E1,1.686641140E1,1.460000038E0,2.131000061E2,3.790092468E0,2.500000000E0
1.758495552E2,6.501101016E1,2.547168738E1,1.649330554E1,1.470000029E0,2.136000061E2,3.790092468E0,2.500000000E0
1.768493711E2,6.501100124E1,2.547167120E1,1.607460661E1,1.450000048E0,2.118000031E2,3.790092468E0,2.500000000E0
1.778493290E2,6.501099128E1,2.547165591E1,1.595833735E1,1.460000038E0,2.116999969E2,3.790092468E0,2.500000000E0
1.788491895E2,6.501098126E1,2.547164042E1,1.568142356E1,1.490000010E0,2.130000000E2,3.790092468E0,2.500000000E0
1.798490884E2,6.501097022E1,2.547162610E1,1.569198582E1,1.509999990E0,2.116999969E2,3.790092468E0,2.500000000E0
1.808489262E2,6.501095868E1,2.547161348E1,1.599576128E1,1.440000057E0,2.101999969E2,3.790092468E0,2.500000000E0
1.818498571E2,6.501094690E1,2.547160376E1,1.643100676E1,1.480000019E0,2.108999939E2,3.790092468E0,2.500000000E0
1.828493340E2,6.501093612E1,2.547159091E1,1.630063886E1,1.450000048E0,2.135000000E2,3.790092468E0,2.500000000E0
1.838498645E2,6.501092522E1,2.547157492E1,1.617564187E1,1.470000029E0,2.151000061E2,3.790092468E0,2.500000000E0
